# 1 Hybird Metropolis method for Square Ising System
# 2 System size L=1000; N=1000000
# 3 Kernel size KERNEL_L=3; KERNEL_N=9
# 4 Exchange integral J=1
# 5 MC Steps. Heatup=25000; Main=1000000
# 6 T	<E>	<E^2>	<M>	<M^2>	step	seed
2.75	-0.934822023306704	0.873896392758371	4.45981554454324e-05	2.05335430872502e-05	100000	240
2.76	-0.929335369414118	0.863668381710208	-1.0008466810439e-05	2.01401889865781e-05	100000	241
2.77	-0.92392213328683	0.85363622901331	-2.22106564231509e-05	1.93945306812365e-05	100000	242
2.78	-0.918590104797714	0.843811870124849	-1.01292136244123e-05	1.88757258245952e-05	100000	243
2.79	-0.913327935415815	0.834171975240263	-2.58322753206533e-07	1.82232872203163e-05	100000	244
2.8	-0.90813545818966	0.824714051637562	4.4238901899893e-06	1.78616175358428e-05	100000	245
2.81	-0.903028382344181	0.81546427290906	1.5080313379021e-05	1.75994257121206e-05	100000	246
2.82	-0.897975788534717	0.806364514412908	-3.71243093888816e-06	1.68986924978619e-05	100000	247
2.83	-0.892996566428663	0.797446815137888	-1.77515712601563e-05	1.65188876524213e-05	100000	248
2.84	-0.888080536286856	0.788690984679014	9.28831234280172e-06	1.60670815931832e-05	100000	249
2.85	-0.88323123446332	0.780101324026775	-6.80443661111328e-06	1.56623181826218e-05	100000	250
2.86	-0.878448721825013	0.771676048200076	2.00632561418289e-05	1.5455949452907e-05	100000	251
2.87	-0.873719360656441	0.763389389146651	-2.90595854270414e-06	1.50690661405224e-05	100000	252
2.88	-0.869053200377438	0.755257312756553	-2.76555842948736e-06	1.4646642136657e-05	100000	253
2.89	-0.864447273465439	0.747272918032361	-5.52660042976805e-06	1.44543044900273e-05	100000	254
2.9	-0.859900193627233	0.739432145826864	2.74255296100823e-05	1.40073036152423e-05	100000	255
2.91	-0.855408844288754	0.731728080413815	-1.57561583684662e-05	1.37534838239025e-05	100000	256
2.92	-0.85097049076258	0.724154524116983	-1.89477792509331e-05	1.3629179627965e-05	100000	257
2.93	-0.846581568273156	0.716704103341021	3.9567252873055e-06	1.31540930552536e-05	100000	258
2.94	-0.842246856274906	0.709383488773367	-3.17811775613112e-05	1.2947921016885e-05	100000	259
2.95	-0.837973792608336	0.702203780194207	-1.12865700956178e-05	1.27248034181144e-05	100000	260
2.96	-0.833743546732503	0.695131983525338	1.37011827922245e-05	1.24150526392356e-05	100000	261
2.97	-0.829556974960333	0.688168438207309	-2.59475179431447e-06	1.22707017681231e-05	100000	262
2.98	-0.825435709792456	0.681347753728558	2.94707348281714e-05	1.19788610390327e-05	100000	263
2.99	-0.821340495157827	0.674603832055229	-1.0110693419879e-05	1.17654205231707e-05	100000	264
3	-0.817310026819262	0.667999288736653	-1.60036658692465e-05	1.15328309116998e-05	100000	265
3.1	-0.77932249163209	0.607346992191961	-3.78831805082903e-06	9.80454686283189e-06	100000	266
3.2	-0.745151019364508	0.555253369633207	2.02782998892128e-06	8.50776084485175e-06	100000	267
3.3	-0.714187516065347	0.510067024150646	9.64197499027976e-06	7.49357341628061e-06	100000	268
3.4	-0.68597262122461	0.470561548487453	-4.27105313985736e-06	6.74288271826254e-06	100000	269
3.5	-0.660122431044181	0.435764658598258	-2.17746875668284e-06	6.13873271021504e-06	100000	270
3.6	-0.636332976858794	0.404922621755666	-5.0698599920254e-06	5.62125480069412e-06	100000	271
3.8	-0.593951001255282	0.352780638164113	1.11596319045902e-05	4.83643951120063e-06	100000	272
4	-0.55727394586009	0.310556994719727	-1.7118389934917e-06	4.29054628320236e-06	100000	273
4.2	-0.525156087932346	0.275791578508554	-1.36595103724716e-07	3.85456753052028e-06	100000	274
4.4	-0.496763939482003	0.246777009356449	-8.74069129986723e-06	3.51625337652745e-06	100000	275
4.6	-0.471456983126967	0.222274220254348	-2.79169494611753e-06	3.25782106424106e-06	100000	276
4.8	-0.448746452257173	0.201375866736491	-1.19797827859174e-06	3.03275441411183e-06	100000	277
5	-0.428224843305297	0.18337895440201	-3.49011467099372e-06	2.8597083389903e-06	100000	278
